124	9. 가구소득, 비소비지출 및 원리금상환액(계속) / 처분가능소득 / 전체가구 / 평균 / 2023년	5864.22	7125.27	4680.08	3782.04
125	2024년	6031.74	7476.03	4890.58	4094.05
126	중앙값 / 2023년	4773.00	6124.00	3346.00	2593.00
127	2024년	4823.00	6416.00	3460.00	2862.00
128	원리금상환액 / 전체가구 / 평균 / 2023년	1250.29	1366.53	701.30	460.06
129	2024년	1327.62	1583.95	747.05	549.76
130	보유가구 / 중앙값 / 2023년	1000.00	1043.00	749.00	600.00
131	(단위: 만원) / 2024년	1006.00	1040.00	800.00	672.00
132	가계의 재무건전성 / 부채/자산 / 2024년	16.90	16.79	10.86	9.56
133	10. 가계의 재무건전성 / 2025년	16.82	16.68	10.82	9.20
134	증감	-0.08	-0.11	-0.04	-0.36
135	금융부채/저축액 / 2024년	68.36	58.20	41.93	38.74
136	2025년	68.22	59.02	41.04	37.84
137	(단위: %, %p) / 증감	-0.14	0.82	-0.89	-0.90
